Phased data for CzeV327 Cyg, Phased with elements 2457625.32162 + 0.3713408 * E

HJD            MAG     ERROR   PHASE    HELCOR		EPOCH           BAND 	 OBSERVER 

2457625.30695  0.1609  0.0063  0.9396  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.30841  0.1474  0.0062  0.9436  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.30988  0.1668  0.0060  0.9475  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31135  0.1720  0.0059  0.9515  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31282  0.1693  0.0060  0.9554  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31429  0.1659  0.0059  0.9594  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31575  0.1696  0.0059  0.9633  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31722  0.1683  0.0058  0.9673  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.31868  0.1699  0.0061  0.9712  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32015  0.1649  0.0059  0.9752  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32162  0.1747  0.0057  0.9791  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32308  0.1765  0.0058  0.9831  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32455  0.1690  0.0059  0.9870  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32601  0.1664  0.0059  0.9910  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32748  0.1729  0.0057  0.9949  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.32894  0.1715  0.0058  0.9988  +0.0040   	4736   	Clear 	 Václav Pøibík 
2457625.33041  0.1742  0.0059  0.0028  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33188  0.1805  0.0057  0.0068  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33334  0.1721  0.0059  0.0107  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33481  0.1747  0.0059  0.0147  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33627  0.1601  0.0059  0.0186  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33774  0.1678  0.0058  0.0225  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.33921  0.1780  0.0057  0.0265  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34069  0.1797  0.0060  0.0305  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34215  0.1391  0.0057  0.0344  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34362  0.1132  0.0059  0.0384  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34509  0.1078  0.0055  0.0423  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34655  0.0906  0.0057  0.0463  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34802  0.0689  0.0056  0.0502  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.34949  0.0404  0.0054  0.0542  +0.0040   	4737   	Clear 	 Václav Pøibík 
2457625.35095  0.0169  0.0054  0.0581  +0.0040   	4737   	Clear 	 Václav Pøibík 
